Descriptio,Name,Latitude,Longitude,Number of Records,Path,Shapeid
Municipio,Chahal,15.85782623,-89.45851898,1,96,0
Municipio,Chahal,15.85499954,-89.45830536,1,97,0
Municipio,Chahal,15.85364628,-89.45502472,1,98,0
Municipio,Chahal,15.85137844,-89.45133209,1,99,0
Municipio,Chahal,15.85396767,-89.44487,1,100,0
Municipio,Chahal,15.85290146,-89.4439621,1,101,0
Municipio,Chahal,15.8545208,-89.43908691,1,102,0
Municipio,Chahal,15.85782814,-89.43818665,1,103,0
Municipio,Chahal,15.85900879,-89.43295288,1,104,0
Municipio,Chahal,15.86101913,-89.42648315,1,105,0
Municipio,Chahal,15.8636198,-89.41947937,1,106,0
Municipio,Chahal,15.86291313,-89.41345215,1,107,0
Municipio,Chahal,15.86081219,-89.41010284,1,108,0
Municipio,Chahal,15.8568964,-89.40986633,1,109,0
Municipio,Chahal,15.85219669,-89.40629578,1,110,0
Municipio,Chahal,15.84910774,-89.40762329,1,111,0
Municipio,Chahal,15.85089302,-89.41018677,1,112,0
Municipio,Chahal,15.84972572,-89.41294098,1,113,0
Municipio,Chahal,15.83865643,-89.41719818,1,114,0
Municipio,Chahal,15.83495045,-89.41323853,1,115,0
Municipio,Chahal,15.83324814,-89.4144516,1,116,0
Municipio,Chahal,15.83105278,-89.42334747,1,117,0
Municipio,Chahal,15.82792377,-89.42376709,1,118,0
Municipio,Chahal,15.8247633,-89.42578125,1,119,0
Municipio,Chahal,15.82531166,-89.4312973,1,120,0
Municipio,Chahal,15.82126045,-89.43395233,1,121,0
Municipio,Chahal,15.81836128,-89.43904877,1,122,0
Municipio,Chahal,15.8166666,-89.44221497,1,123,0
Municipio,Chahal,15.81839657,-89.45098877,1,124,0
Municipio,Chahal,15.81573963,-89.45555878,1,125,0
Municipio,Chahal,15.81417561,-89.45812988,1,126,0
Municipio,Chahal,15.8128376,-89.46330261,1,127,0
Municipio,Chahal,15.81488323,-89.46440125,1,128,0
Municipio,Chahal,15.81550694,-89.46707916,1,129,0
Municipio,Chahal,15.81335258,-89.46999359,1,130,0
Municipio,Chahal,15.81535435,-89.47298431,1,131,0
Municipio,Chahal,15.81464958,-89.47574615,1,132,0
Municipio,Chahal,15.80762386,-89.47740936,1,133,0
Municipio,Chahal,15.80571365,-89.47324371,1,134,0
Municipio,Chahal,15.80135632,-89.47441101,1,135,0
Municipio,Chahal,15.79837513,-89.47596741,1,136,0
Municipio,Chahal,15.79317379,-89.47410584,1,137,0
Municipio,Chahal,15.79039097,-89.47247314,1,138,0
Municipio,Chahal,15.78586006,-89.47405243,1,139,0
Municipio,Chahal,15.78437424,-89.47781372,1,140,0
Municipio,Chisec,15.9975071,-89.98266602,1,141,1
Municipio,Chisec,15.98948288,-90.00361633,1,142,1
Municipio,Chisec,15.97856617,-90.01651001,1,143,1
Municipio,Chisec,15.97176456,-90.0100174,1,144,1
Municipio,Chisec,15.95957565,-90.0065155,1,145,1
Municipio,Chisec,15.95773029,-90.00853729,1,146,1
Municipio,Chisec,15.95733833,-90.01055145,1,147,1
Municipio,Chisec,15.96528053,-90.02024078,1,148,1
Municipio,Chisec,15.96499252,-90.02313995,1,149,1
Municipio,Chisec,15.96073818,-90.02251434,1,150,1
Municipio,Chisec,15.94974995,-90.01716614,1,151,1
Municipio,Chisec,15.94526291,-90.01338196,1,152,1
Municipio,Chisec,15.95215702,-90.00790405,1,153,1
Municipio,Chisec,15.95341969,-90.00558472,1,154,1
Municipio,Chisec,15.9499054,-90.00489044,1,155,1
Municipio,Chisec,15.93966484,-90.00498962,1,156,1
Municipio,Chisec,15.93725872,-90.00463867,1,157,1
Municipio,Chisec,15.93770981,-90.00268555,1,158,1
Municipio,Chisec,15.94104576,-89.99893951,1,159,1
Municipio,Chisec,15.94690418,-89.99649811,1,160,1
Municipio,Chisec,15.95731926,-89.99467468,1,161,1
Municipio,Chisec,15.95812225,-89.99282837,1,162,1
Municipio,Chisec,15.95483971,-89.99100494,1,163,1
Municipio,Chisec,15.94557667,-89.99104309,1,164,1
Municipio,Chisec,15.94085693,-89.9884491,1,165,1
Municipio,Chisec,15.93579769,-89.99001312,1,166,1
Municipio,Chisec,15.93425179,-89.99433899,1,167,1
Municipio,Chisec,15.93247223,-89.99429321,1,168,1
Municipio,Chisec,15.93073559,-89.99311066,1,169,1
Municipio,Chisec,15.92918777,-89.99288177,1,170,1
Municipio,Chisec,15.92528629,-89.99603271,1,171,1
Municipio,Chisec,15.92280674,-89.99746704,1,172,1
Municipio,Chisec,15.91941071,-89.99581146,1,173,1
Municipio,Chisec,15.91923332,-89.99019623,1,174,1
Municipio,Chisec,15.91751194,-89.98712158,1,175,1
Municipio,Chisec,15.91239071,-89.98536682,1,176,1
Municipio,Chisec,15.90927792,-89.98792267,1,177,1
Municipio,Chisec,15.9081974,-89.99254608,1,178,1
Municipio,Chisec,15.90670013,-89.99729919,1,179,1
Municipio,Chisec,15.90462971,-89.99800873,1,180,1
Municipio,Chisec,15.9030714,-89.99321747,1,181,1
Municipio,Chisec,15.90100384,-89.99256897,1,182,1
Municipio,Chisec,15.89657593,-89.99401093,1,183,1
Municipio,Chisec,15.89369965,-89.99407959,1,184,1
Municipio,Chisec,15.89346313,-89.98674011,1,185,1
